year,sex,escenario,age,n,pop,deaths,mx,ax,qx,lx,dx,Lx,Tx,ex,homicides
2019,f,Observada,0,1,22606,243.585,0.01077526,0.07,0.01066835,1e+05,1067,99008,7904098,79.04,0
2019,f,Observada,1,1,24429,21.011,0.00086007,0.5,0.0008597,98933,85,98891,7805091,78.89,0
2019,f,Observada,2,1,27647,15.008,0.00054283,0.5,0.00054268,98848,54,98821,7706200,77.96,0
2019,f,Observada,3,1,28839,6.003,0.00020816,0.5,0.00020814,98794,21,98784,7607379,77,0
2019,f,Observada,4,1,29198,4.002,0.00013707,0.5,0.00013706,98774,14,98767,7508595,76.02,0
2019,f,Observada,5,5,147206,31.016,0.0002107,2.5,0.00105293,98760,104,493542,7409827,75.03,0
2019,f,Observada,10,5,152820,30.015,0.00019641,2.5,0.00098157,98656,97,493040,6916286,70.1,0
2019,f,Observada,15,5,153810,77.039,0.00050087,2.5,0.00250123,98560,247,492181,6423246,65.17,0
2019,f,Observada,20,5,164969,125.064,0.00075811,2.5,0.00378335,98313,372,490635,5931064,60.33,0
2019,f,Observada,25,5,159614,132.067,0.00082742,2.5,0.00412855,97941,404,488694,5440429,55.55,0
2019,f,Observada,30,5,148766,173.088,0.00116349,2.5,0.0058006,97537,566,486269,4951735,50.77,0
2019,f,Observada,35,5,142751,228.116,0.001598,2.5,0.00795822,96971,772,482925,4465465,46.05,0
2019,f,Observada,40,5,132773,268.137,0.00201951,2.5,0.01004684,96199,966,478580,3982540,41.4,0
2019,f,Observada,45,5,122988,358.183,0.00291234,2.5,0.01445644,95233,1377,472722,3503960,36.79,0
2019,f,Observada,50,5,105068,441.225,0.00419943,2.5,0.02077898,93856,1950,464404,3031238,32.3,0
2019,f,Observada,55,5,80766,573.293,0.00709819,2.5,0.03487214,91906,3205,451516,2566834,27.93,0
2019,f,Observada,60,5,65998,645.329,0.00977801,2.5,0.04772347,88701,4233,432921,2115317,23.85,0
2019,f,Observada,65,5,47644,663.339,0.01392281,2.5,0.06727251,84468,5682,408133,1682396,19.92,0
2019,f,Observada,70,5,33248,774.395,0.02329148,2.5,0.11004938,78785,8670,372251,1274263,16.17,0
2019,f,Observada,75,5,21200,804.411,0.03794389,2.5,0.17328199,70115,12150,320201,902012,12.86,0
2019,f,Observada,80,5,13596,794.405,0.05842935,2.5,0.25491103,57965,14776,252887,581811,10.04,0
2019,f,Observada,85,,10881,1428.729,0.13130495,,1,43189,43189,328924,328924,7.62,0
2019,f,Sin homicidios,0,1,22606,239.585,0.01059831,0.07,0.01049487,1e+05,1049,99024,7934865,79.35,4
2019,f,Sin homicidios,1,1,24429,19.011,0.0007782,0.5,0.0007779,98951,77,98912,7835841,79.19,2
2019,f,Sin homicidios,2,1,27647,14.008,0.00050666,0.5,0.00050653,98874,50,98848,7736929,78.25,1
