year,sex,age,n,pop
2010,f,0,1,28249
2010,f,1,1,28890
2010,f,2,1,29463
2010,f,3,1,30003
2010,f,4,1,30572
2010,f,5,5,157002
2010,f,10,5,155896
2010,f,15,5,154942
2010,f,20,5,146967
2010,f,25,5,138648
2010,f,30,5,131957
2010,f,35,5,124725
2010,f,40,5,106011
2010,f,45,5,86142
2010,f,50,5,66618
2010,f,55,5,50048
2010,f,60,5,38766
2010,f,65,5,29163
2010,f,70,5,20169
2010,f,75,5,13463
2010,f,80,5,8138
2010,f,85,,6078
2010,m,0,1,29304
2010,m,1,1,29977
2010,m,2,1,30550
2010,m,3,1,31035
2010,m,4,1,31538
2010,m,5,5,161327
2010,m,10,5,161102
2010,m,15,5,162893
2010,m,20,5,154022
2010,m,25,5,138033
2010,m,30,5,128902
2010,m,35,5,128126
2010,m,40,5,113195
2010,m,45,5,91718
2010,m,50,5,68393
2010,m,55,5,48940
2010,m,60,5,36483
2010,m,65,5,26684
2010,m,70,5,17886
2010,m,75,5,11471
2010,m,80,5,6547
2010,m,85,,4228
2019,f,0,1,26719
2019,f,1,1,27073
2019,f,2,1,27641
2019,f,3,1,28495
2019,f,4,1,29343
2019,f,5,5,153025
2019,f,10,5,157325
2019,f,15,5,164437
2019,f,20,5,170151
2019,f,25,5,169588
2019,f,30,5,154096
2019,f,35,5,139801
2019,f,40,5,131790
2019,f,45,5,120952
2019,f,50,5,100776
2019,f,55,5,80646
2019,f,60,5,60976
2019,f,65,5,43638
2019,f,70,5,31822
2019,f,75,5,21555
2019,f,80,5,12840
2019,f,85,,10011
2019,m,0,1,27770
2019,m,1,1,28117
2019,m,2,1,28700
2019,m,3,1,29581
2019,m,4,1,30450
2019,m,5,5,159396
2019,m,10,5,164429
2019,m,15,5,172487
2019,m,20,5,181370
2019,m,25,5,182093
2019,m,30,5,160838
2019,m,35,5,136075
2019,m,40,5,127611
2019,m,45,5,123532
2019,m,50,5,105922
2019,m,55,5,82973
2019,m,60,5,59414
2019,m,65,5,40204
2019,m,70,5,28115
2019,m,75,5,18153
2019,m,80,5,10266
2019,m,85,,7524
2021,f,0,1,26754
2021,f,1,1,26866
2021,f,2,1,27196
2021,f,3,1,27662
2021,f,4,1,28247
2021,f,5,5,150418
2021,f,10,5,158273
2021,f,15,5,164043
2021,f,20,5,172941
2021,f,25,5,174491
2021,f,30,5,162138
2021,f,35,5,146428
2021,f,40,5,134782
2021,f,45,5,127387
2021,f,50,5,108666
2021,f,55,5,87747
2021,f,60,5,66930
2021,f,65,5,48193
2021,f,70,5,33855
2021,f,75,5,23241
2021,f,80,5,13875
2021,f,85,,10585
2021,m,0,1,27879
2021,m,1,1,28000
2021,m,2,1,28334
2021,m,3,1,28820
2021,m,4,1,29427
2021,m,5,5,156902
2021,m,10,5,166006
2021,m,15,5,172091
2021,m,20,5,184432
2021,m,25,5,188412
2021,m,30,5,172472
2021,m,35,5,146687
2021,m,40,5,129104
2021,m,45,5,127126
2021,m,50,5,113056
2021,m,55,5,90965
2021,m,60,5,66169
2021,m,65,5,44767
2021,m,70,5,29897
2021,m,75,5,19568
2021,m,80,5,11080
2021,m,85,,8013
