year,sex,age,n,pop,deaths,mx,ax,qx,lx,dx,Lx,Tx,ex
2010,f,0,1,26749,354.569,0.01325541,0.07,0.01309399,1e+05,1309,98782,7745512,77.46
2010,f,1,1,27338,31.11,0.00113799,0.5,0.00113735,98691,112,98634,7646729,77.48
2010,f,2,1,29831,12.043,0.0004037,0.5,0.00040362,98578,40,98558,7548095,76.57
2010,f,3,1,30160,23.082,0.00076532,0.5,0.00076502,98539,75,98501,7449536,75.6
2010,f,4,1,29915,16.057,0.00053675,0.5,0.00053661,98463,53,98437,7351036,74.66
2010,f,5,5,149281,39.139,0.00026218,2.5,0.00131006,98410,129,491729,7252599,73.7
2010,f,10,5,150006,33.118,0.00022077,2.5,0.00110327,98281,108,491136,6760869,68.79
2010,f,15,5,147159,87.31,0.0005933,2.5,0.00296212,98173,291,490138,6269733,63.86
2010,f,20,5,142015,111.395,0.00078439,2.5,0.00391429,97882,383,488453,5779595,59.05
2010,f,25,5,132038,102.363,0.00077526,2.5,0.00386879,97499,377,486552,5291142,54.27
2010,f,30,5,131268,122.435,0.00093271,2.5,0.00465269,97122,452,484480,4804590,49.47
2010,f,35,5,128815,172.613,0.00134001,2.5,0.00667766,96670,646,481736,4320110,44.69
2010,f,40,5,104483,219.78,0.0021035,2.5,0.01046249,96024,1005,477611,3838374,39.97
2010,f,45,5,84374,272.969,0.00323523,2.5,0.01604635,95020,1525,471287,3360764,35.37
2010,f,50,5,68779,308.415,0.00448414,2.5,0.02217214,93495,2073,462293,2889477,30.91
2010,f,55,5,49774,369.311,0.00741976,2.5,0.03642317,91422,3330,448786,2427184,26.55
2010,f,60,5,39205,435.546,0.01110946,2.5,0.05404622,88092,4761,428558,1978398,22.46
2010,f,65,5,27568,500.778,0.01816518,2.5,0.08688042,83331,7240,398556,1549840,18.6
2010,f,70,5,19850,495.76,0.02497531,2.5,0.11753772,76091,8944,358098,1151284,15.13
2010,f,75,5,12872,576.045,0.04475179,2.5,0.20124388,67148,13513,301956,793186,11.81
2010,f,80,5,8192,594.109,0.07252309,2.5,0.30696103,53635,16464,227014,491230,9.16
2010,f,85,,6734,947.363,0.14068358,,1,37171,37171,264216,264216,7.11
2010,m,0,1,27708,462.418,0.01668899,0.07,0.01643392,1e+05,1643,98472,6970129,69.7
2010,m,1,1,28325,33.487,0.00118225,0.5,0.00118155,98357,116,98299,6871657,69.86
2010,m,2,1,30713,22.325,0.00072689,0.5,0.00072662,98240,71,98205,6773359,68.95
2010,m,3,1,31140,22.325,0.00071692,0.5,0.00071666,98169,70,98134,6675154,68
2010,m,4,1,31191,16.236,0.00052054,0.5,0.00052041,98099,51,98073,6577020,67.04
2010,m,5,5,153879,38.561,0.00025059,2.5,0.00125218,98048,123,489931,6478947,66.08
2010,m,10,5,155505,51.753,0.00033281,2.5,0.00166265,97925,163,489217,5989016,61.16
2010,m,15,5,152129,208.027,0.00136744,2.5,0.0068139,97762,666,487145,5499799,56.26
2010,m,20,5,144748,352.124,0.00243267,2.5,0.01208981,97096,1174,482545,5012654,51.63
2010,m,25,5,133714,461.718,0.00345303,2.5,0.01711738,95922,1642,475505,4530109,47.23
2010,m,30,5,132961,551.018,0.00414421,2.5,0.02050855,94280,1934,466566,4054604,43.01
2010,m,35,5,135402,617.992,0.00456413,2.5,0.0225632,92347,2084,456524,3588038,38.85
2010,m,40,5,110864,637.273,0.00574824,2.5,0.02833402,90263,2558,444921,3131514,34.69
2010,m,45,5,87145,634.229,0.00727785,2.5,0.03573901,87705,3135,430691,2686593,30.63
2010,m,50,5,68291,663.332,0.00971332,2.5,0.0474152,84571,4010,412830,2255903,26.67
2010,m,55,5,48407,726.572,0.01500965,2.5,0.07233399,80561,5827,388236,1843073,22.88
2010,m,60,5,36274,695.114,0.01916289,2.5,0.09143407,74734,6833,356585,1454837,19.47
2010,m,65,5,25170,682.937,0.02713299,2.5,0.12704703,67900,8627,317936,1098252,16.17
2010,m,70,5,18012,699.174,0.0388171,2.5,0.17691698,59274,10487,270153,780316,13.16
2010,m,75,5,11256,673.804,0.0598618,2.5,0.26034691,48787,12702,212183,510163,10.46
2010,m,80,5,6598,592.623,0.08981861,2.5,0.36674232,36086,13234,147343,297980,8.26
2010,m,85,,4823,731.646,0.15169937,,1,22852,22852,150637,150637,6.59
2019,f,0,1,22606,243.585,0.01077526,0.07,0.01066835,1e+05,1067,99008,7904098,79.04
2019,f,1,1,24429,21.011,0.00086007,0.5,0.0008597,98933,85,98891,7805091,78.89
2019,f,2,1,27647,15.008,0.00054283,0.5,0.00054268,98848,54,98821,7706200,77.96
2019,f,3,1,28839,6.003,0.00020816,0.5,0.00020814,98794,21,98784,7607379,77
2019,f,4,1,29198,4.002,0.00013707,0.5,0.00013706,98774,14,98767,7508595,76.02
2019,f,5,5,147206,31.016,0.0002107,2.5,0.00105293,98760,104,493542,7409827,75.03
2019,f,10,5,152820,30.015,0.00019641,2.5,0.00098157,98656,97,493040,6916286,70.1
2019,f,15,5,153810,77.039,0.00050087,2.5,0.00250123,98560,247,492181,6423246,65.17
2019,f,20,5,164969,125.064,0.00075811,2.5,0.00378335,98313,372,490635,5931064,60.33
2019,f,25,5,159614,132.067,0.00082742,2.5,0.00412855,97941,404,488694,5440429,55.55
2019,f,30,5,148766,173.088,0.00116349,2.5,0.0058006,97537,566,486269,4951735,50.77
2019,f,35,5,142751,228.116,0.001598,2.5,0.00795822,96971,772,482925,4465465,46.05
2019,f,40,5,132773,268.137,0.00201951,2.5,0.01004684,96199,966,478580,3982540,41.4
2019,f,45,5,122988,358.183,0.00291234,2.5,0.01445644,95233,1377,472722,3503960,36.79
2019,f,50,5,105068,441.225,0.00419943,2.5,0.02077898,93856,1950,464404,3031238,32.3
2019,f,55,5,80766,573.293,0.00709819,2.5,0.03487214,91906,3205,451516,2566834,27.93
2019,f,60,5,65998,645.329,0.00977801,2.5,0.04772347,88701,4233,432921,2115317,23.85
2019,f,65,5,47644,663.339,0.01392281,2.5,0.06727251,84468,5682,408133,1682396,19.92
2019,f,70,5,33248,774.395,0.02329148,2.5,0.11004938,78785,8670,372251,1274263,16.17
2019,f,75,5,21200,804.411,0.03794389,2.5,0.17328199,70115,12150,320201,902012,12.86
2019,f,80,5,13596,794.405,0.05842935,2.5,0.25491103,57965,14776,252887,581811,10.04
2019,f,85,,10881,1428.729,0.13130495,,1,43189,43189,328924,328924,7.62
2019,m,0,1,22882,284.865,0.01244932,0.07,0.01230684,1e+05,1231,98855,7070741,70.71
